iShares Russell 2000 ETF
Fund Holdings as of,"Sep 14, 2026"
Inception Date,"May 22, 2000"
Shares Outstanding,"277,550,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"

Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Market Currency,Accrual Date
"RYTM","RHYTHM PHARMACEUTICALS","Health Care","Equity","147,268,563.52","0.19","147,268,563.52","1,437,608.00","102.44","United States","NASDAQ","USD","1.00","USD","-"
"LGND","LIGAND PHARMACEUTICALS","Health Care","Equity","146,891,648.70","0.18","146,891,648.70","523,398.00","280.65","United States","NASDAQ","USD","1.00","USD","-"
"MXL","MAXLINEAR","Information Technology","Equity","146,518,956.76","0.18","146,518,956.76","2,261,444.00","64.79","United States","NASDAQ","USD","1.00","USD","-"
"ABCB","AMERIS BANCORP","Financials","Equity","145,499,125.34","0.18","145,499,125.34","1,715,387.00","84.82","United States","NYSE","USD","1.00","USD","-"
"COGT","COGENT BIOSCIENCES","Health Care","Equity","145,129,565.36","0.18","145,129,565.36","4,343,896.00","33.41","United States","NASDAQ","USD","1.00","USD","-"
"BKH","BLACK HILLS CORP","Utilities","Equity","144,636,539.52","0.18","144,636,539.52","2,048,096.00","70.62","United States","NYSE","USD","1.00","USD","-"
"ENVA","ENOVA INTERNATIONAL","Financials","Equity","144,466,210.72","0.18","144,466,210.72","637,201.00","226.72","United States","NYSE","USD","1.00","USD","-"
"SIGI","SELECTIVE INSURANCE GROUP","Financials","Equity","144,036,126.44","0.18","144,036,126.44","1,610,782.00","89.42","United States","NASDAQ","USD","1.00","USD","-"
"PTCT","PTC THERAPEUTICS","Health Care","Equity","143,611,758.00","0.18","143,611,758.00","2,160,225.00","66.48","United States","NASDAQ","USD","1.00","USD","-"
"ACIW","ACI WORLDWIDE","Information Technology","Equity","143,491,309.65","0.18","143,491,309.65","2,725,381.00","52.65","United States","NASDAQ","USD","1.00","USD","-"
"NJR","NEW JERSEY RESOURCES CORP","Utilities","Equity","143,347,751.10","0.18","143,347,751.10","2,699,581.00","53.10","United States","NYSE","USD","1.00","USD","-"
"KRG","KITE REALTY GROUP TRUST REIT","Real Estate","Equity","142,665,708.50","0.18","142,665,708.50","5,482,925.00","26.02","United States","NYSE","USD","1.00","USD","-"
"SXT","SENSIENT TECHNOLOGIES","Materials","Equity","142,126,027.10","0.18","142,126,027.10","1,123,082.00","126.55","United States","NYSE","USD","1.00","USD","-"
"CGON","CG ONCOLOGY","Health Care","Equity","141,917,429.19","0.18","141,917,429.19","1,923,261.00","73.79","United States","NASDAQ","USD","1.00","USD","-"
"BCPC","BALCHEM","Materials","Equity","141,821,849.34","0.18","141,821,849.34","850,098.00","166.83","United States","NASDAQ","USD","1.00","USD","-"
"VRNS","VARONIS SYSTEMS","Information Technology","Equity","141,426,207.04","0.18","141,426,207.04","2,978,648.00","47.48","United States","NASDAQ","USD","1.00","USD","-"
"RDNT","RADNET","Health Care","Equity","140,699,696.31","0.18","140,699,696.31","1,863,819.00","75.49","United States","NASDAQ","USD","1.00","USD","-"
"AGX","ARGAN","Industrials","Equity","140,547,471.68","0.18","140,547,471.68","358,028.00","392.56","United States","NYSE","USD","1.00","USD","-"
"RIG","TRANSOCEAN","Energy","Equity","140,033,591.65","0.18","140,033,591.65","25,694,237.00","5.45","United States","NYSE","USD","1.00","USD","-"
"CORZ","CORE SCIENTIFIC INC","Information Technology","Equity","139,257,678.08","0.17","139,257,678.08","8,210,948.00","16.96","United States","NASDAQ","USD","1.00","USD","-"
"PIPR","PIPER SANDLER COMPANIES","Financials","Equity","138,843,312.72","0.17","138,843,312.72","1,860,173.00","74.64","United States","NYSE","USD","1.00","USD","-"
"CIFR","CIPHER DIGITAL INC","Information Technology","Equity","138,650,929.84","0.17","138,650,929.84","8,867,984.00","15.64","United States","NASDAQ","USD","1.00","USD","-"
"MUR","MURPHY OIL CORP","Energy","Equity","138,640,520.60","0.17","138,640,520.60","3,629,333.00","38.20","United States","NYSE","USD","1.00","USD","-"
"AROC","ARCHROCK","Energy","Equity","138,580,434.39","0.17","138,580,434.39","4,545,111.00","30.49","United States","NYSE","USD","1.00","USD","-"
"VSEC","VSE CORP","Industrials","Equity","138,201,405.62","0.17","138,201,405.62","736,642.00","187.61","United States","NASDAQ","USD","1.00","USD","-"
"VSXY","VICTORIA S SECRET","Consumer Discretionary","Equity","137,242,973.46","0.17","137,242,973.46","1,841,199.00","74.54","United States","NYSE","USD","1.00","USD","-"
"SBRA","SABRA HEALTH CARE REIT","Real Estate","Equity","137,090,695.50","0.17","137,090,695.50","6,687,351.00","20.50","United States","NASDAQ","USD","1.00","USD","-"
"DFTX","DEFINIUM THERAPEUTICS INC","Health Care","Equity","136,633,817.25","0.17","136,633,817.25","3,394,629.00","40.25","United States","NASDAQ","USD","1.00","USD","-"
"MMSI","MERIT MEDICAL SYSTEMS INC","Health Care","Equity","135,756,508.22","0.17","135,756,508.22","1,560,061.00","87.02","United States","NASDAQ","USD","1.00","USD","-"
"CNO","CNO FINANCIAL GROUP","Financials","Equity","134,591,781.51","0.17","134,591,781.51","2,423,767.00","55.53","United States","NYSE","USD","1.00","USD","-"
"RGTI","RIGETTI COMPUTING","Information Technology","Equity","133,439,093.88","0.17","133,439,093.88","8,738,644.00","15.27","United States","NASDAQ","USD","1.00","USD","-"
"GVA","GRANITE CONSTRUCTION","Industrials","Equity","132,994,417.17","0.17","132,994,417.17","1,162,437.00","114.41","United States","NYSE","USD","1.00","USD","-"
"DNTH","DIANTHUS THERAPEUTICS INC","Health Care","Equity","132,792,431.31","0.17","132,792,431.31","1,233,099.00","107.69","United States","NASDAQ","USD","1.00","USD","-"
"HCC","WARRIOR MET COAL INC","Materials","Equity","132,255,247.92","0.17","132,255,247.92","1,385,452.00","95.46","United States","NYSE","USD","1.00","USD","-"
"UEC","URANIUM ENERGY","Energy","Equity","132,224,077.62","0.17","132,224,077.62","12,887,337.00","10.26","United States","Nyse Mkt Llc","USD","1.00","USD","-"
"NOVT","NOVANTA","Information Technology","Equity","131,996,284.70","0.17","131,996,284.70","942,494.00","140.05","United States","NASDAQ","USD","1.00","USD","-"
"PI","IMPINJ","Information Technology","Equity","131,908,427.20","0.17","131,908,427.20","762,080.00","173.09","United States","NASDAQ","USD","1.00","USD","-"
"GLNG","GOLAR LNG","Energy","Equity","131,678,377.44","0.17","131,678,377.44","2,558,352.00","51.47","Norway","NASDAQ","USD","1.00","USD","-"
"MTRN","MATERION","Materials","Equity","131,445,261.14","0.17","131,445,261.14","547,187.00","240.22","United States","NYSE","USD","1.00","USD","-"
"HAE","HAEMONETICS CORP","Health Care","Equity","130,795,212.89","0.16","130,795,212.89","1,230,319.00","106.31","United States","NYSE","USD","1.00","USD","-"
"PECO","PHILLIPS EDISON AND COMPANY","Real Estate","Equity","130,424,227.80","0.16","130,424,227.80","3,395,580.00","38.41","United States","NASDAQ","USD","1.00","USD","-"
"CAKE","CHEESECAKE FACTORY INC","Consumer Discretionary","Equity","129,916,711.34","0.16","129,916,711.34","1,235,302.00","105.17","United States","NASDAQ","USD","1.00","USD","-"
"OGS","ONE GAS","Utilities","Equity","129,507,446.88","0.16","129,507,446.88","1,675,821.00","77.28","United States","NYSE","USD","1.00","USD","-"
